iter	TotalF1	MultiClass
0	0.3554618054	1.577188308
1	0.3538945342	1.550542202
2	0.359623147	1.527078192
3	0.3642705773	1.506458748
4	0.3562368487	1.489685963
5	0.3686138408	1.472266997
6	0.3768514773	1.457502404
7	0.3749937674	1.444555418
8	0.3782850636	1.432980316
9	0.3801428933	1.421970919
10	0.3825129882	1.411649681
11	0.3900703478	1.402322012
12	0.391127591	1.395115541
13	0.3933016568	1.387622309
14	0.3982352863	1.38022388
15	0.3986301526	1.374185327
16	0.4016088653	1.367072331
17	0.4020402423	1.362782635
18	0.402210255	1.358010959
19	0.4054789568	1.353671352
20	0.407550472	1.348276068
21	0.4115235899	1.34413176
22	0.4140284604	1.339830969
23	0.4148912422	1.335731204
24	0.414789763	1.332321444
25	0.4184365034	1.328799028
26	0.4221010802	1.325897917
27	0.4219040408	1.322987815
28	0.4222821188	1.320498167
29	0.4239492694	1.318115246
30	0.4258594784	1.315352806
31	0.4292972733	1.311317708
32	0.4319169925	1.307775136
33	0.4320131863	1.305701809
34	0.4329038786	1.303282423
35	0.4336230575	1.301626963
36	0.4338872126	1.300160671
37	0.4355775373	1.298055681
38	0.43691005	1.295055336
39	0.4393342976	1.292945829
40	0.4406027651	1.290669579
41	0.4400082376	1.289417874
42	0.4424324697	1.287680155
43	0.4429661551	1.285956009
44	0.4430984052	1.284610428
45	0.4413263049	1.282736132
46	0.4434393105	1.281021775
47	0.4439333478	1.279670735
48	0.4455650377	1.27846885
49	0.4463636774	1.276623248
50	0.4475091835	1.275333787
51	0.4482367059	1.27371942
52	0.4489751633	1.271887603
53	0.4507369478	1.270370967
54	0.4521181699	1.268889285
55	0.4527665827	1.267199287
56	0.4534245767	1.265621981
57	0.4548406269	1.263554215
58	0.4574939401	1.261618818
59	0.4570660285	1.260711791
60	0.4589648512	1.259110588
61	0.4589615928	1.257752908
62	0.4614013589	1.255592203
63	0.4615915158	1.254244412
64	0.4645179445	1.252134699
65	0.4644084617	1.251161924
66	0.4649737674	1.249221505
67	0.465303158	1.248027268
68	0.4673829299	1.246092747
69	0.4678095714	1.244472802
70	0.4693815649	1.243229643
71	0.4702261356	1.241818416
72	0.4730511928	1.24021456
73	0.4725393948	1.239513388
74	0.4740700407	1.238493015
75	0.4738948821	1.237450318
76	0.4754936157	1.236470504
77	0.4763388279	1.235221822
78	0.4765347586	1.233765912
79	0.476311534	1.232990458
80	0.4767559061	1.231631805
81	0.4780692943	1.23054867
82	0.4786413349	1.229607375
83	0.4787860965	1.228935869
84	0.4796061181	1.227637344
85	0.4807979314	1.226250823
86	0.4815886511	1.225264809
87	0.4809927835	1.2243312
88	0.4810293228	1.2234252
89	0.482860858	1.222341841
90	0.4836207168	1.221643839
91	0.4833165018	1.220501735
92	0.4850714263	1.218885441
93	0.4859303016	1.217472421
94	0.4857675514	1.216543387
95	0.4868073458	1.216018849
96	0.4875661493	1.214411665
97	0.4891732425	1.212297028
98	0.4895965455	1.211417879
99	0.4922804964	1.209963882
100	0.4933677991	1.208165017
101	0.4953183985	1.206207534
102	0.4957835069	1.20399839
103	0.4964972669	1.202517048
104	0.4978991762	1.2015083
105	0.4993147187	1.200368852
106	0.5003831938	1.199265611
107	0.5016041539	1.198567317
108	0.5035637043	1.196556322
109	0.5043004319	1.194940575
110	0.5053798713	1.193691141
111	0.5070691122	1.191105267
112	0.5100390972	1.188216905
113	0.5117707804	1.187040857
114	0.5122580257	1.186227276
115	0.5118167483	1.184949557
116	0.5127076075	1.183905784
117	0.5129836609	1.183129137
118	0.5145043438	1.182079304
119	0.5156191934	1.180833405
120	0.5155643965	1.179868822
121	0.5172502534	1.178793978
122	0.518216265	1.177804872
123	0.5183265862	1.1770041
124	0.5193666307	1.175888331
125	0.5200162458	1.17478842
126	0.5191587298	1.172789564
127	0.5196971479	1.171180777
128	0.5205660205	1.170305863
129	0.5208158896	1.169746009
130	0.5213791618	1.168343086
131	0.5245057136	1.166514936
132	0.5256405479	1.165173736
133	0.5259192243	1.163586901
134	0.5258631915	1.162886123
135	0.5273321926	1.161804199
136	0.5279688042	1.16069317
137	0.5292804787	1.159601806
138	0.5301069489	1.158585298
139	0.5311138474	1.157689493
140	0.5306837113	1.156696064
141	0.5313751548	1.155214433
142	0.5317123412	1.15382477
143	0.5323836589	1.153079504
144	0.5327811058	1.152188767
145	0.5333902813	1.151251257
146	0.5341325964	1.150297756
147	0.5354561516	1.149366336
148	0.5360689635	1.148300168
149	0.5362559313	1.147568902
150	0.5370642777	1.145947188
151	0.5388507035	1.144716668
152	0.5391085799	1.143779122
153	0.5410250119	1.142218209
154	0.5407408927	1.141682562
155	0.5423731885	1.140701628
156	0.5433160495	1.139532451
157	0.5442899724	1.13791587
158	0.5460604601	1.136408083
