iter	Passed	Remaining
0	19	7639
1	37	7410
2	55	7371
3	73	7260
4	91	7205
5	109	7183
6	127	7164
7	146	7199
8	167	7281
9	187	7319
10	205	7263
11	222	7195
12	240	7151
13	257	7109
14	275	7059
15	292	7016
16	309	6972
17	327	6943
18	344	6910
19	362	6894
20	382	6905
21	400	6875
22	417	6846
23	435	6819
24	454	6810
25	472	6794
26	490	6777
27	508	6749
28	525	6727
29	543	6705
30	561	6684
31	579	6667
32	598	6657
33	616	6633
34	634	6619
35	652	6595
36	670	6577
37	687	6551
38	706	6537
39	724	6520
40	742	6500
41	760	6480
42	778	6462
43	797	6450
44	814	6426
45	832	6405
46	852	6400
47	869	6378
48	888	6361
49	905	6341
50	923	6318
51	941	6301
52	959	6281
53	976	6260
54	995	6241
55	1012	6219
56	1030	6200
57	1047	6179
58	1065	6157
59	1083	6139
60	1102	6125
61	1119	6104
62	1138	6090
63	1159	6087
64	1178	6073
65	1197	6059
66	1214	6037
67	1232	6017
68	1254	6020
69	1272	6000
70	1290	5980
71	1307	5956
72	1325	5936
73	1342	5913
74	1359	5891
75	1376	5870
76	1394	5847
77	1411	5826
78	1429	5806
79	1447	5788
80	1465	5773
81	1485	5761
82	1504	5745
83	1522	5726
84	1540	5709
85	1558	5691
86	1576	5672
87	1594	5654
88	1612	5635
89	1630	5616
90	1648	5598
91	1666	5579
92	1685	5563
93	1703	5545
94	1721	5526
95	1738	5505
96	1756	5487
97	1774	5469
98	1792	5450
99	1810	5430
100	1827	5410
101	1845	5392
102	1863	5373
103	1881	5355
104	1900	5338
105	1918	5320
106	1936	5302
107	1954	5284
108	1972	5265
109	1990	5247
110	2008	5228
111	2025	5208
112	2043	5189
113	2060	5170
114	2078	5151
115	2096	5133
116	2114	5114
117	2134	5101
118	2155	5090
119	2174	5074
120	2192	5054
121	2209	5035
122	2227	5016
123	2244	4996
124	2262	4977
125	2280	4958
126	2298	4940
127	2315	4920
128	2333	4901
129	2350	4882
130	2368	4863
131	2386	4844
132	2405	4828
133	2423	4810
134	2441	4792
135	2459	4773
136	2476	4755
137	2495	4738
138	2514	4721
139	2532	4703
140	2551	4687
141	2570	4669
142	2588	4651
143	2607	4634
144	2625	4618
145	2645	4601
146	2664	4585
147	2682	4567
148	2700	4549
149	2755	4593
150	2782	4588
151	2801	4570
152	2819	4552
153	2839	4535
154	2859	4520
155	2879	4503
156	2898	4485
157	2917	4468
158	2936	4450
159	2955	4433
160	2974	4415
161	2992	4395
162	3010	4377
163	3029	4359
164	3047	4340
165	3066	4322
166	3085	4304
167	3104	4286
168	3124	4271
169	3145	4255
170	3164	4238
171	3182	4218
172	3200	4200
173	3218	4180
174	3236	4161
175	3253	4141
176	3271	4121
177	3289	4102
178	3306	4082
179	3324	4063
180	3342	4044
181	3360	4025
182	3378	4005
183	3396	3986
184	3413	3967
185	3432	3948
186	3451	3931
187	3468	3911
188	3487	3893
189	3505	3874
190	3523	3855
191	3541	3836
192	3559	3817
193	3578	3799
194	3596	3780
195	3617	3764
196	3637	3748
197	3658	3732
198	3679	3716
199	3706	3706
200	3729	3692
201	3754	3680
202	3776	3664
203	3799	3650
204	3821	3634
205	3844	3620
206	3868	3606
207	3892	3592
208	3916	3579
